Q,Description,Link,A
AP Family Physician Scheme 2024,Medical advice through officers at PHCs,,Medical advice through officers at PHCs   
AP Tailors Scheme 2024,Support for tailors with financial assistance,,Support for tailors with financial assistance   
AP Ration Card Online Application,Online application for ration cards,http://ap.meeseva.gov.in,Online application for ration cards   http://ap.meeseva.gov.in
YSR Matsyakaara Barosa,Financial relief to sea-going fishermen families,,Financial relief to sea-going fishermen families   
YSR Nethanna Nestham,Financial aid to weaver families to modernize equipment,,Financial aid to weaver families to modernize equipment   
YSR Pension Kanuka,"Support for the old, infirm, widows, and disabled",http://www.myscheme.gov.in,"Support for the old, infirm, widows, and disabled   http://www.myscheme.gov.in"
Vahana Mitra,"Financial aid for maintenance of autos, taxis",,"Financial aid for maintenance of autos, taxis   "
YSR Aarogyasri,Health insurance coverage up to Rs. 5 lakh per family,,Health insurance coverage up to Rs. 5 lakh per family   
YSR Bima,Insurance for unorganized workers' families,,Insurance for unorganized workers' families   
YSR Cheyutha,"Financial aid to women of BC, SC, ST, Minority Communities",,"Financial aid to women of BC, SC, ST, Minority Communities   "
Paydalandariki Illu,Housing scheme integrating PMAY-YSR and YSR Urban Housing,,Housing scheme integrating PMAY-YSR and YSR Urban Housing   
YSR Asara,Loan waiver and 0% interest loans for women's cooperatives,,Loan waiver and 0% interest loans for women's cooperatives   
Amma Vodi Scheme,Financial aid to mothers for children's education,,Financial aid to mothers for children's education   
YSR Rythu Bharosa,Support to farmer families including tenant farmers,http://www.myscheme.gov.in,Support to farmer families including tenant farmers   http://www.myscheme.gov.in
Maharashtra Construction Workers Registration,Registration for construction workers to avail various benefits.,,Registration for construction workers to avail various benefits.   
Dr. Panjabrao Deshmukh Hostel Maintenance Allowance Scheme 2024,Hostel maintenance allowance for students with specific parental income criteria.,,Hostel maintenance allowance for students with specific parental income criteria.   
MahaDBT Scholarship Schemes 2024,Consolidated various scholarship schemes for students.,,Consolidated various scholarship schemes for students.   
Atal Bandkam Kamgar Yojna 2024,Financial assistance for housing to construction laborers in rural areas.,,Financial assistance for housing to construction laborers in rural areas.   
Maharashtra Smart Ration Card Application Form PDF,Application for smart ration cards to avail online services.,,Application for smart ration cards to avail online services.   
Mahaswayam Employment Registration Web Portal,Web portal for job seekers in Maharashtra.,,Web portal for job seekers in Maharashtra.   
Maharashtra Textile Units Online Registration Form 2024 for Power Subsidy,Online registration for textile units for power subsidy benefits.,,Online registration for textile units for power subsidy benefits.   
Maharashtra Old Age Pension Online Application Form 2024,Monthly pension scheme for senior citizens.,,Monthly pension scheme for senior citizens.   
Maharashtra Shravan Bal Seva Rajya Nivruttivetan Yojana 2024,State-sponsored pension scheme for destitute persons.,,State-sponsored pension scheme for destitute persons.   
Pradhan Mantri Mudra Yojana (PMMY) for MSMEs,Business loans for various industries under PMMY.,,Business loans for various industries under PMMY.   
Stand Up India Scheme for MSMEs,Supports bank loans for greenfield firms by SC/ST or female entrepreneurs.,,Supports bank loans for greenfield firms by SC/ST or female entrepreneurs.   
Pradhan Mantri Employment Generation Program for MSMEs,Program by KVIC for employment generation in business/service sector.,,Program by KVIC for employment generation in business/service sector.   
Industrial Promotion Subsidy (IPS) for MSMEs,Incentive subsidy for MSME units based on taluka classification.,,Incentive subsidy for MSME units based on taluka classification.   
Interest Subsidy for MSMEs,Subsidy on interest paid on term loans for acquiring fixed assets.,,Subsidy on interest paid on term loans for acquiring fixed assets.   
Exemption from Electricity Duty for MSMEs,Exemption from electricity duty in specified areas for eligible new units.,,Exemption from electricity duty in specified areas for eligible new units.   
Waiver of Stamp Duty for MSMEs,Exemption from paying stamp duty on land acquisition and term loan purposes.,,Exemption from paying stamp duty on land acquisition and term loan purposes.   
Power Tariff Subsidy for MSMEs,Power tariff subsidies for newly established MSMEs.,,Power tariff subsidies for newly established MSMEs.   
TN Labour Online Registration/Application,Unorganized sector workers can register online.,https://www.labour.tn.gov.in,Unorganized sector workers can register online.   https://www.labour.tn.gov.in
TNPDS Tamil Nadu Smart Ration Card Status,Conversion of ration cards to smart cards.,https://tnpds.gov.in,Conversion of ration cards to smart cards.   https://tnpds.gov.in
Tamil Nadu Credit Guarantee Scheme (TNCGS) for MSMEs,"Financial aid to MSMEs, reducing the need for loan collateral.",https://sarkariyojana.com,"Financial aid to MSMEs, reducing the need for loan collateral.   https://sarkariyojana.com"
Tamil Nadu Online Sand Booking & Vehicle Registration (TNSAND),Online system for sand booking and vehicle registration.,https://www.tnsand.in,Online system for sand booking and vehicle registration.   https://www.tnsand.in
TN Illam Thedi Kalvi Scheme,Focuses on reducing the learning gap for children in classes 1 to 8.,https://illamthedikalvi.tnschools.gov.in,Focuses on reducing the learning gap for children in classes 1 to 8.   https://illamthedikalvi.tnschools.gov.in
Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Provides nutrition kits to pregnant women.,https://sarkariyojana.com,Provides nutrition kits to pregnant women.   https://sarkariyojana.com
Puthumai Penn Scheme,Monthly scholarship for girl students from government schools.,https://penkalvi.tn.gov.in,Monthly scholarship for girl students from government schools.   https://penkalvi.tn.gov.in
Naan Mudhalvan Scheme,Skill development for youth.,https://naanmudhalvan.tn.gov.in,Skill development for youth.   https://naanmudhalvan.tn.gov.in
TN Kalaignar Magalir Urimai Thogai Scheme,Financial assistance to female heads of families.,https://sarkariyojana.com,Financial assistance to female heads of families.   https://sarkariyojana.com
Annal Ambedkar Business Champion Scheme,Economic development scheme for SC/ST individuals.,https://sarkariyojana.com,Economic development scheme for SC/ST individuals.   https://sarkariyojana.com
Pradhan Mantri Awas Yojana (PMAY),Provides affordable housing,https://pmaymis.gov.in,Provides affordable housing   https://pmaymis.gov.in
Pradhan Mantri Garib Kalyan Anna Yojna,Ensures food security,https://pmgkay.gov.in,Ensures food security   https://pmgkay.gov.in
Meri Policy Mere Hath,Focuses on insurance or personal finance management,,Focuses on insurance or personal finance management   
Rashtriya Uchchatar Shiksha Abhiyan,Improves higher education,https://mhrd.gov.in/rusa,Improves higher education   https://mhrd.gov.in/rusa
Support for Marginal Individuals for Livelihood and Enterprise (SMILE),Supports livelihoods and small businesses,,Supports livelihoods and small businesses   
Jal Jeevan Yojana,Provides water supply to every household,https://jaljeevanmission.gov.in,Provides water supply to every household   https://jaljeevanmission.gov.in
Jalshakti Abhiyan 2022,Mission for water conservation,https://jalshakti-ddws.gov.in,Mission for water conservation   https://jalshakti-ddws.gov.in
Ayushman Bharat Yojana,Healthcare insurance coverage,https://pmjay.gov.in,Healthcare insurance coverage   https://pmjay.gov.in
Pradhan Mantri Kisan Samman Nidhi Yojana,Support for farmers,https://pmkisan.gov.in,Support for farmers   https://pmkisan.gov.in
Swachh Bharat Abhiyan,Nationwide cleanliness campaign,https://swachhbharatmission.gov.in,Nationwide cleanliness campaign   https://swachhbharatmission.gov.in
Digital India,Digital infrastructure and services,https://digitalindia.gov.in,Digital infrastructure and services   https://digitalindia.gov.in
Make in India,Promotes manufacturing in India,https://www.makeinindia.com,Promotes manufacturing in India   https://www.makeinindia.com
"Beti Bachao, Beti Padhao",Focuses on the welfare of girls,https://wcd.nic.in/bbbp-schemes,Focuses on the welfare of girls   https://wcd.nic.in/bbbp-schemes
Skill India,Skill development initiative,https://www.skillindia.gov.in,Skill development initiative   https://www.skillindia.gov.in
Start-up India Programme,Encouraging entrepreneurship and startups,https://www.startupindia.gov.in,Encouraging entrepreneurship and startups   https://www.startupindia.gov.in
Indira Gandhi National Old Age Pension Scheme (IGNOAPS),Provides pension to senior citizens living below poverty line,https://www.myscheme.gov.in,Provides pension to senior citizens living below poverty line   https://www.myscheme.gov.in
Svamitva Yojana,Mapping of properties in villages with drones to reduce property disputes,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Mapping of properties in villages with drones to reduce property disputes   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
Garib Kalyan Rojgar Abhiyaan,Employment campaign for the poor post-COVID-19 pandemic,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Employment campaign for the poor post-COVID-19 pandemic   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
PM Matsya Sampada Yojana (PMMSY),Welfare measures for farmers in the fisheries sector,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,Welfare measures for farmers in the fisheries sector   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
Jal Jeevan Mission,To provide water to each rural household through individual taps,https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India,To provide water to each rural household through individual taps   https://en.wikipedia.org/wiki/List_of_schemes_of_the_government_of_India
